@relation 3f2eeba7

@attribute trump numeric
@attribute congress numeric
@attribute review numeric
@attribute obama numeric
@attribute share numeric
@attribute nordstrom numeric
@attribute senate numeric
@attribute pos numeric
@attribute neg numeric
@attribute neu numeric
@attribute timestamp numeric
@attribute corpus {Conservative,Liberal}

@data
0,0,0,0,0,0,0,0.246191,0.149277,0.604596,1486800000,Liberal
0,0,0,0,0,0,0,0.108364,0.186091,0.705727,1486800000,Conservative
1,0,1,0,0,0,0,0.202,0.1051,0.693,1486454400,Conservative
1,0,0,0,0,0,0,0.122273,0.179727,0.698091,1486800000,Liberal
0,0,0,0,0,0,0,0.1595,0.17175,0.66875,1486713600,Conservative
0,0,0,0,0,0,0,0.12275,0.16225,0.715125,1486368000,Liberal
1,0,0,0,0,0,0,0.189533,0.145467,0.665067,1486627200,Liberal
0,0,0,0,0,0,0,0,0,0,1486713600,Conservative
1,0,0,0,0,0,0,0.157882,0.173235,0.669059,1486800000,Conservative
0,0,0,0,0,0,0,0.13775,0.116188,0.746063,1486713600,Liberal
0,0,0,0,0,0,0,0.198414,0.154207,0.647414,1486800000,Liberal
0,0,0,0,0,0,0,0.1755,0.158,0.66625,1486627200,Conservative
0,0,0,0,0,0,0,0.126833,0.1165,0.756667,1486627200,Conservative
0,0,0,0,0,0,0,0.1155,0.191,0.6935,1486540800,Conservative
1,0,0,0,0,0,0,0.22775,0.120596,0.651615,1486800000,Conservative
1,0,0,0,0,0,0,0.171778,0.201889,0.626111,1486713600,Conservative
0,0,0,0,0,0,0,0.403,0,0.597,1486713600,Conservative
0,0,0,0,0,0,0,0.0885,0.22425,0.687,1486454400,Liberal
1,0,1,0,0,0,0,0.205417,0.130042,0.664542,1486713600,Conservative
0,0,0,0,0,0,0,0.079333,0.221,0.699667,1486800000,Liberal
0,0,0,0,0,0,0,0.058,0.402,0.54,1486627200,Conservative
0,0,0,0,0,0,0,0.214913,0.135717,0.584185,1486800000,Liberal
1,0,0,0,0,0,0,0.067737,0.235684,0.696579,1486108800,Liberal
0,0,0,0,1,0,0,0.268723,0.0764,0.654877,1486800000,Liberal
0,1,0,0,0,0,0,0.142286,0.128143,0.729429,1486800000,Liberal
0,0,0,0,0,0,0,0.112778,0.153556,0.733778,1486627200,Liberal
0,0,0,0,0,0,0,0.126833,0.1165,0.756667,1486627200,Conservative
1,0,0,0,0,0,0,0.125,0.1695,0.705571,1486713600,Liberal
1,0,0,0,0,0,0,0.2132,0.04,0.747,1486800000,Liberal
1,0,0,0,0,0,0,0.030143,0.315857,0.654143,1486800000,Liberal
1,0,0,0,0,0,0,0.077667,0.164,0.758667,1486627200,Liberal
0,0,0,0,0,0,0,0.28825,0.088,0.62375,1486627200,Conservative
0,0,0,0,0,0,0,0.178692,0.163624,0.651599,1486800000,Liberal
1,0,0,1,0,0,0,0.268143,0.160286,0.571429,1486713600,Conservative
0,0,0,0,0,0,0,0.1042,0.1596,0.7362,1486627200,Conservative
1,0,0,0,0,0,0,0.242,0.098,0.66,1486800000,Conservative
0,0,0,0,0,0,0,0.1565,0.064,0.779,1486713600,Conservative
