@relation f4d15781

@attribute trump numeric
@attribute congress numeric
@attribute review numeric
@attribute obama numeric
@attribute share numeric
@attribute nordstrom numeric
@attribute senate numeric
@attribute pos numeric
@attribute neg numeric
@attribute neu numeric
@attribute timestamp numeric
@attribute corpus {Conservative,Liberal}

@data
0,0,1,0,0,0,0,0.131538,0.222846,0.645538,1486540800,Conservative
0,0,1,0,0,0,0,0.161179,0.136214,0.702679,1486800000,Conservative
1,0,0,0,0,0,0,0.138267,0.183733,0.678067,1486713600,Conservative
1,0,0,0,0,0,0,0.206375,0.16575,0.628,1486800000,Conservative
1,0,1,0,0,0,0,0.124,0.1684,0.7076,1486454400,Conservative
0,0,0,0,0,0,0,0,0.209,0.791,1486800000,Conservative
0,0,0,0,0,0,0,0.276,0.082,0.6415,1486627200,Conservative
1,0,0,0,0,0,0,0.126625,0.20175,0.671625,1486627200,Conservative
0,0,0,0,0,0,0,0.1428,0.1194,0.738,1486627200,Conservative
0,0,1,0,0,0,1,0.135947,0.159579,0.704474,1486627200,Conservative
0,0,0,0,0,0,0,0.1,0.1459,0.754,1486713600,Conservative
0,0,0,0,0,0,0,0.241571,0.071857,0.686571,1486713600,Conservative
0,0,0,0,0,0,0,0.2585,0.132667,0.608833,1486540800,Conservative
0,0,0,0,0,0,0,0.1595,0.114,0.72675,1486713600,Conservative
0,0,0,0,0,0,0,0.1512,0.2796,0.5692,1486800000,Conservative
1,0,0,0,0,0,0,0.16687,0.16613,0.666957,1486713600,Conservative
0,0,0,0,0,0,0,0.167,0.054,0.779,1486713600,Conservative
0,0,0,0,0,0,0,0.1628,0.1368,0.7006,1486713600,Conservative
0,0,0,0,0,0,0,0.207571,0.094357,0.698143,1486713600,Conservative
1,0,0,0,0,0,0,0.141842,0.155842,0.702474,1486713600,Conservative
0,0,1,0,0,0,0,0.178607,0.146679,0.674643,1486627200,Conservative
0,0,0,0,0,0,0,0.1695,0.1566,0.6739,1486713600,Conservative
0,0,0,0,0,0,0,0.13,0.12,0.7495,1486627200,Conservative
0,0,0,0,0,0,0,0,0,0,1486281600,Conservative
1,0,0,0,0,0,0,0.141875,0.18925,0.66875,1486800000,Conservative
0,0,0,0,0,0,0,0,0,0,1486713600,Conservative
0,0,0,0,0,0,0,0.146444,0.149167,0.704444,1486540800,Conservative
0,0,0,0,0,0,0,0.175,0.099333,0.725667,1486627200,Conservative
1,0,0,0,0,1,0,0.097615,0.198308,0.704077,1486800000,Conservative
1,0,0,0,0,0,0,0.111136,0.196318,0.692636,1486627200,Conservative
0,0,0,0,0,0,0,0.0815,0.0845,0.405357,1486627200,Conservative
